#,Model name,Prompt type,Question (start),Why the model answer was wrong,Bias / problem / dataset issue
1,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Adrien's total salary was...,Treated “30% higher” as “other is 30% less” (used 0.7× instead of ÷1.3).,Misinterpreted percentage baseline.
2,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Carlos is planting a...,Reported first profit year (13) instead of years to break even (12).,Interpreted “before he starts earning” as after break-even (ambiguous).
3,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Cecilia just bought a...,"Counted full-year cups → 5 bags, not 2.",Dataset likely incorrect (golden miskey; 5 is correct).
4,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Christina is planning a...,Used 0.75 per invited guest → 12 bags ($24).,Prompt ambiguity; dataset assumes 0.75 per attendee (likely inconsistent).
5,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Debra is monitoring a...,Counted all unreturned (90−15)=75 returning last 6 hrs.,"Dataset likely incorrect; wording implies 75, not 15."
6,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Jean is two years...,Used Jan’s age “two years ago” (28) instead of given 30.,Misread reference time; timeline confusion.
7,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,John likes to have...,Counted 3 waters on weekend (kept dinner water).,Ignored “soda with dinner” on weekends.
8,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Mandy owes Benedict $100...,Used simple interest (add 6) not compounding (106.12).,Used simple instead of compound interest.
9,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Adrien's total salary was...,Same as #1.,Misinterpreted percentage baseline.
10,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Carlos is planting a...,Same as #2.,Ambiguous phrasing; chose “year 13”.
11,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Jean is two years...,Same as #6.,Timeline confusion.
12,gpt-4.1-mini-2025-04-14_gsm8k_cot,cot,Jerry is rolling a...,Took absolute difference (25 pts) not “% more” (100%).,"Interpreted “more likely” as difference, not relative percent."
